 1/2017	 11/01/2017	 14/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 ao Senhor RIQUELMO BEDIN, Secretário da Secretaria de Saúde de Chapecó, ao Senhor ÉCIO BORDIGNON, Superintendente Regional do Oeste da CASAN, e ao Senhor ALEXANDRE ESTEFANI, Promotor de Justiça da 9ª Promotoria de Justiça da Comarca de Chapecó, para, considerando as informações abaixo explanadas, sejam convidados para participarem de Audiência Pública, a ser realizada no Plenário da Câmara de Vereadores em data e hora a ser definida previamente junto ao proponente do presente Requerimento. Nos Bairros Bela Vista e Parque das Palmeiras, nesta cidade de Chapecó, existem “respiros” ou “canos” que provém das tubulações subterrâneas de esgoto, ultrapassando o limite da calçada, chegando à altura aproximada de 2 a 5 metros, encerrando-se com uma curva curta e aberta. Referidas tubulações expelem odores desagradáveis, especialmente no período noturno. Tais “respiros” são chamados de dutos de esgoto. Ocorre que muitas vezes a situação fica insuportável, pois, especialmente no bairro Bela Vista, tais dutos chegam a espirrar dejetos, piorando o odor desagradável e colocando em risco a saúde pública. Aliás, uma das moradoras do Bairro Bela Vista chegou a apresentar reclamação ainda no ano de 2012, perante o Procon desta cidade, em face da empresa responsável por tais dutos, a CASAN - Companhia Catarinense de Água e Saneamento. A Reclamação foi autuada sob o número 26164. Adveio à referida Reclamação resposta da CASAN, na qual se depreende que todo o esgoto coletado nos bairros Cristo Rei e Bela Vista passa justamente pela rua na qual residem os moradores Reclamantes do Bairro Bela Vista, para então chegar à ETE – Estação de Tratamento de Esgoto. O espirro de dejetos e o mal cheiro, conforme a CASAN, advém em razão da formação de gases, e o problema foi agravado após a pavimentação daquela Rua, que teria LACRADO AS TAMPAS DE SISTEMA DE ESGOTO, acumulando ainda mais gás e fazendo que os dejetos espirrados sejam cada vez em maior quantidade. Na referida resposta, ainda, se depreende a alegação da CASAN de que estava tentando resolver o problema. porém, os moradores ainda permanecem na mesma situação, que tende a se agravar com a vinda do verão. A Reclamação supracitada foi arquivada pelo Procon, muito embora encerrada apenas com a promessa da CASAN em tentar amenizar o problema. São por essas razões que o vereador proponente apresenta este Requerimento, para fins de realização de Audiência Pública com as autoridades competentes para o fim de explanarem e encontrar soluções práticas para o problema acima relatado, do qual sofrem moradores especialmente do Bairro Parque das Palmeiras e Bela Vista. Termos em que, pede deferimento. 
 303/2018	 21/11/2018	 22/11/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ARESTIDE FIDELIS ASTRIT MARIA SAVARIS TOZZO CLAIMAR CESAR DE CONTO CLEBER CECCON DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI ITAMAR ANTONIO AGNOLETTO JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA MARCILEI ANDREA P. VIGNATTI NEURI LUIZ MANTELLI ORIDES ANTUNES ROBERTO CARLOS N. DOS SANTOS VALDEMIR ANTONIO STOBE 	Aprovada 	
 304/2018	 21/11/2018	 03/12/2018	 Vereador	 	»»JATIR JOSE BALBINOT 	Rejeitada	 REQUERENDO-LHE: As seguintes informações: 
 305/2018	 21/11/2018	 04/12/2018	 Vereador	 	»»JATIR JOSE BALBINOT 	Rejeitada 	
 306/2018	 27/11/2018	 03/12/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Retirada	 REQUERENDO-LHE: Que envie para esta Casa as seguintes informações: 
 307/2018	 29/11/2018	 05/12/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Retirada	 REQUERENDO-LHE: Que envie para esta Casa as seguintes informações: 
 308/2018	 29/11/2018	 21/12/2018	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Retirada 	
 309/2018	 29/11/2018	 06/12/2018	 Vereador	 	»»ASTRIT MARIA SAVARIS TOZZO 	Retirada 	
 310/2018	 04/12/2018	 05/12/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada 	
 311/2018	 05/12/2018	 05/12/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 REQUERENDO-LHE: 
 312/2018	 05/12/2018	 10/12/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Rejeitada	 REQUERENDO-LHE: 
 313/2018	 06/12/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Entrada	 na Ordem do Dia REQUERENDO-LHE: 	
 314/2018	 06/12/2018	 31/01/2019	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Retirada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta este ao plenário, e se aprovado, se envie ofício ao Senhor JAIME GIOLO - Reitor da Universidade Federal da Fronteira Sul (UFFS), para que seja convidado a apresentar no Plenário da Câmara de Vereadores os investimentos da universidade no Hospital Regional do Oeste. Termos que pede deferimento. 
 315/2018	 10/12/2018	 12/12/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada	 para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que tramitam nessa casa legislativa os Projetos de Lei n. 226/2018. 227/2018. 228/2018. 229/2018. 
 316/2018	 10/12/2018	 11/12/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 e LUCIANE STOBE - Secretária de Defesa do Cidadão e Mobilidade, requerendo a seguinte informação: 
 317/2018	 12/12/2018	 12/12/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada 	
 318/2018	 12/12/2018	 Vereador	 	»»NEURI LUIZ MANTELLI 	Entrada	 na Ordem do Dia e a Secretária de Defesa do Cidadão e Mobilidade LUCIANE STOBE, requerendo as seguintes informações: 	
 319/2018	 12/12/2018	 14/12/2018	 Vereador	 	»»ASTRIT MARIA SAVARIS TOZZO 	Aprovada 	
 1/2019	 15/01/2019	 12/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada	 O(s) Vereador(es) que este subscreve(m), amparados no Art. 5º, combinado com os artigos 23, inciso XIII do art. 34, art. 
 2/2019	 15/01/2019	 12/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 3/2019	 16/01/2019	 20/03/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada	 , para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que foram abertos créditos adicionais suplementares via Decreto do Poder Executivo no ano/exercício de 2018, o vereador proponente apresenta este Requerimento, para fins de que: A) Seja apresentada lista de todos os decretos do poder executivo emitidos no ano de 2018. B) Seja apresentada lista contendo todas as “dotações orçamentárias” correspondentes ao ano/exercício de 2018. C) Seja apresentada relação dos créditos adicionais suplementares abertos no ano/exercício de 2018, bem como o percentual utilizado do limite estabelecido na Lei Orçamentária Anual de 2018. Pugna seja remetida também advertência de que, conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que, pede deferimento. 
 4/2019	 16/01/2019	 12/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 5/2019	 16/01/2019	 20/03/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada 	
 6/2019	 18/01/2019	 12/02/2019	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada	 O(s) Vereador(es) que este subscreve(m), amparados no Art. 5º, combinado com os artigos 23, inciso XIII do art. 34, art. 
 7/2019	 21/01/2019	 12/02/2019	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada	 ao senhor LUIZ AUGUSTO GEMELLI - Presidente da SACH – Sociedade Amigos de Chapecó, e/ou responsável pelo tema em questão, para que seja convidado a fazer uma visita na Câmara de Vereadores para apresentar os projetos da EFAPI 2019. Termos que pede deferimento. 
 8/2019	 21/01/2019	 12/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 9/2019	 21/01/2019	 12/03/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Vereador(es) que este subscreve(m), amparado(s) no Art. 5º, XIV e XXXIII e art. 216 § 2º da Constituição Federal/88, bem como nos Artigos 6º e 7º da Lei 12.527/11, combinado com os Artigos 5º, 23, 34 inciso XIII, 58, 59, e 63, da Lei Orgânica Municipal e demais disposições legais aplicáveis, solicita(m) que após as tramitações legais se envie ofício ao Senhor LUCIANO JOSÉ BULIGON, Prefeito Municipal de Chapecó para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que a função fiscalizadora do vereador está relacionada com o controle parlamentar, isto é, a atividade que o Poder Legislativo exerce para fiscalizar o Executivo e a burocracia. Nesse sentido, o controle parlamentar diz respeito em especial ao acompanhamento. CONSIDERANDO que este vereador também figurou como denunciante/representante nos processos que levaram a investigação/denunciação dos envolvidos em duas oportunidades diferentes, a primeira ainda no ano de 2016, relacionada a então Secretária da Saúde Municipal, Sra. Cleidenara Maria Mohr Weirich que desdobrou-se na chamada operação “Manobra de Osler”, e outra realizada no ano passado relacionada a provável prátrica de nepotismo praticada pelo Sr. Ivaldo Pizzinato, vereador e Secretário de Infra Estrutura Urbana do município de Chapecó (SC), oportunidade na qual o Vereador/Secretário Ivaldo Pizzinato (Gringo) e o Secretário de Saúde Nedio Conci conversavam via whatsapp o que descrevo na integra: “Nédio, boa noite. Tudo bem? Bicho véio, deixa eu te passar uma situação, não sei se você está sabendo. A minha sobrinha lá que tava de gestora do posto lá perto de casa, ela tava de atestado, sabe que ela sofreu um acidente, né? E agora ela tá voltando e parece que querem tirar ela de lá, eu gostaria que não precisasse falar com o prefeito pra não acontecer isso. Gostaria que tu deixasse onde ela está e retira aquela que tu botou provisória lá. Beleza? Boa noite!”. REQUER: a) À prefeitura Municipal de Chapecó, na pessoa do Prefeito Sr. Luciano Buligon, seja informado o andamento dos trâmites administrativos e providências tomadas pelo poder executivo nos dois casos, tanto em relação à Sra. Cleidenara Maria Mohr Weirich, quanto ao Sr. Sr. Ivaldo Pizzinato. Pugna seja remetida também advertência de que, conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que pede deferimento. 
 10/2019	 22/01/2019	 11/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 11/2019	 25/01/2019	 11/03/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 12/2019	 25/01/2019	 11/03/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 13/2019	 28/01/2019	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Entrada	 na Ordem do Dia O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta este ao plenário, e se aprovado, se envie ofício à ASSOCIAÇÃO HOSPITALAR LENOIR VARGAS FERREIRA, administradora do Hospital da Criança para que seja convidado a comparecer ao Plenário da Câmara de Vereadores para falar a respeito das denúncias feitas pelo ex-secretário da Saúde, Nédio Conci, de que o HC está com irregularidades no setor de oncologia pediátrica. Termos que pede deferimento. 	
 14/2019	 30/01/2019	 07/02/2019	 Vereador	 	»»ARESTIDE FIDELIS 	Retirada	 aos Senhores, LUIZ AUGUSTO GEMELLI – Presidente da SACH (Sociedade Amigos de Chapecó), e ao Senhor Vice-Presidente ALCIDES ZIGLIOLI, CONVIDANDO-OS, para que compareçam em uma SESSÃO ORDINÁRIA, Desta Casa Legislativa, a fim de explanar sobre prestação de contas da SACH e sobre a Exposição-Feira Agropecuária, Industrial e Comercial de Chapecó – EFAPI. Nestes Termos, Pede Deferimento 
 15/2019	 30/01/2019	 11/02/2019	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada	 ao SR. CLAUDIO ALCIDES JACOSKI, Reitor da Universidade Comunitária da Região de Chapecó - Unochapecó e ao SR. VINCENZO FRANCESCO MASTROGIACOMO, para que sejam convidados a apresentar no Plenário da Câmara de Vereadores as informações sobre investimentos, projetos e o resultado da avaliação da instituição pelo MEC. Termos que pede deferimento. 
 16/2019	 31/01/2019	 12/02/2019	 Vereador	 	»»ARESTIDE FIDELIS 	Aprovada 	
 17/2019	 01/02/2019	 12/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a vigência da Portaria STN 569/2018, normativa na qual, estão descritas, entre outras observações, que Estados, Distrito Federal e Municípios que não homologarem o Cadastro da Dívida Pública até 30 de janeiro de 2019 ficarão impedidos de receber transferências voluntárias já no dia seguinte, 31 de janeiro/2019. CONSIDERANDO que em consulta ao sítio eletrônico do Sistema de Análise da Dívida Pública, Operações de Crédito e Garantias da União, Estados e Municípios , sob responsabilidade do Tesouro Nacional (Documento anexo a este requerimento), a Prefeitura Municipal de Chapecó está em situação IRREGULAR, o que gera o bloqueio de transferências voluntárias e operações de crédito já no início do exercício financeiro de 2019. REQUER: 
 18/2019	 01/02/2019	 12/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada 	
 19/2019	 01/02/2019	 12/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada	 para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO que o Serviço Auxiliar de Informações para Transferências Voluntárias (CAUC) é um serviço que disponibiliza informações acerca da situação de cumprimento de requisitos fiscais por parte dos municípios, dos estados, do Distrito Federal e de organizações da sociedade civil (OSC), necessários à celebração de instrumentos para transferência de recursos do governo federal. CONSIDERANDO que a Prefeitura Municipal de Chapecó contraiu empréstimo internacional, realizado em Dólar e indexado à variação deste, junto ao FONPLATA: Fundo de Financiamento para o Desenvolvimento da Bacia do Prata, Contrato BR – 13/2007, no montante contratado de US$ 14.750 milhões de dólares, sem contratação de hedge cambial (estratégia de proteção para os riscos de um investimento, que neutraliza a posição comprada ou vendida para que seu preço não varie). CONSIDERANDO por fim, a necessidade de que esta casa legislativa fique atenta e não se omita diante eu um possível cenário de endividamento do município acima dos limites permitidos mela Lei de Responsabilidade Fiscal. REQUER: 
 20/2019	 04/02/2019	 13/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ARESTIDE FIDELIS ASTRIT MARIA SAVARIS TOZZO CLAIMAR CESAR DE CONTO CLEBER CECCON DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI ITAMAR ANTONIO AGNOLETTO JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA LUIZ PAULO CARARO MARCILEI ANDREA P. VIGNATTI NEURI LUIZ MANTELLI VALDEMIR ANTONIO STOBE VALMOR JÚNIOR SCOLARI 	Aprovada 	
 21/2019	 07/02/2019	 11/02/2019	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada	 O(s) Vereador(es) que este subscreve(m), amparados no Art. 5º, combinado com os artigos 23, inciso XIII do art. 34, art. 
 22/2019	 07/02/2019	 22/02/2019	 Vereador	 	»»NEURI LUIZ MANTELLI 	Retirada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta este ao plenário, e se aprovado, seja instalada no âmbito Desta Câmara Municipal uma Comissão Especial (artigos 46 e 49 do Regimento Interno), para informar, acompanhar e eventualmente cobrar explicações e providências da CELESC em relação aos aumentos abusivos na conta de energia elétrica de consumidores chapecoenses nos últimos meses. É fato que neste último mês dezenas e dezenas de consumidores tem manifestado descontentamento e até indignação em relação aos valores cobrados nas faturas de energia elétrica, sem, contudo, obterem explicações plausíveis da Celesc. Com o objetivo de acessarmos informações com mais facilidade, como também cobrar eventuais providências, requeiro, portanto, nos termos dos artigos 46 e 49 do Regimento Interno da Casa, a instauração de Comissão Especial, de caráter temporário, para tratarmos dessa situação. Termos em que pede Deferimento. 
 23/2019	 07/02/2019	 13/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 24/2019	 08/02/2019	 13/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 25/2019	 08/02/2019	 14/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada	 ao Sr. RIQUELMO BEDIN FILHO, presidente da Comissão de Licitações do Município e à Presidência desta Casa Legislativa, para que envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO o Observatório Social de Chapecó, visando contribuir o controle social na aplicação dos recursos públicos e para a promoção de uma sociedade ética e cidadã, por meio de práticas transparentes e apartidárias, enviou Ofício sob n. OSC 097/2018 a este Vereador, no qual informam sobre uma lista de Ofícios encaminhados ao poder Executivo e um ofício encaminhado à Câmara Municipal de Vereadores de Chapecó (presidente da CMC) para os quais não houve resposta, ou as respostas foram insatisfatórias, cuja lista colaciona abaixo: REQUER: 
 26/2019	 11/02/2019	 14/02/2019	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada 	
 27/2019	 11/02/2019	 14/02/2019	 Vereador	 	»»CLEBER CECCON ARESTIDE FIDELIS ASTRIT MARIA SAVARIS TOZZO 	Aprovada	 e a Senhora SANDRA MARIA GALERA – Secretária Municipal de Educação, REQUERENDO-LHE informações sobre projeto de construção e entrega a população do Centro de Educação Infantil (Ceim) localizado no Bairro Seminário. Considerando: Que a Comunidade da bairro Seminário, por muitos anos, reivindicam e aguardam a construção e funcionamento de um novo Centro de Educação Infantil, que possa melhorar o atendimento e ampliação de vagas. Considerando: Que a população do bairro, em especial as mulheres, tem sofrido com a falta de vagas na creche. Muitas não tem conseguido trabalhar, ou tem que deixar o trabalho por não ter com quem deixar seus filhos enquanto trabalham. Considerando: Que atualmente, as crianças que conseguem vagas, são levadas pelos pais ou avós até o Ceim Pe-Te-Ca, no bairro Seminário, mas que o espaço fisico atual não comporta mais as necessidades da comunidade, além de estar localizado num local insalubre. Neste sentido, fazendo uso das prerrogativas parlamentares, solicito as seguintes informações: 
 28/2019	 12/02/2019	 14/02/2019	 Vereador	 	»»NEURI LUIZ MANTELLI ASTRIT MARIA SAVARIS TOZZO CLEITON MARCIO FOSSÁ 	Aprovada	 REQUERENDO-LHE: Que sejam encaminhadas as seguintes informações: 
 29/2019	 13/02/2019	 15/02/2019	 Vereador	 	»»NEURI LUIZ MANTELLI 	Retirada 	
 30/2019	 13/02/2019	 15/02/2019	 Vereador	 	»»ADÃO VALCIR TEODORO 	Aprovada 	
 31/2019	 14/02/2019	 11/03/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 32/2019	 14/02/2019	 15/02/2019	 Vereador	 	»»JATIR JOSE BALBINOT 	Aprovada	 REQUERENDO-LHE: Com relação ao convênio estabelecido com a União para os programas de saúde da família que sejam encaminhadas as seguintes informações: 
 33/2019	 14/02/2019	 21/02/2019	 Vereador	 	»»CLEBER CECCON 	Aprovada 	
 34/2019	 15/02/2019	 15/02/2019	 Vereador	 	»»ILDO ADÃO ANTONINI 	Aprovada	 as Senhoras VANUSA MAGGIONI – Gerente de Resíduos Sólidos da Secretaria de Infraestrutura Urbana, coordenadora do Programa Lixo Zero Chapecó e LUIZA DENARDIN POLETTO – Engenheira Sanitarista e Ambiental e ao Representante do Instituto Lixo Zero Brasil, e representante do Instituto Lixo Zero que atuará no projeto Lixo Zero Chapecó, CONVIDANDO-OS para que compareçam em uma Sessão Ordinária, Desta Casa Legislativa com data e hora a ser definida pela secretaria da casa. A fim de explanar sobre o Projeto do Instituto Lixo Zero Chapecó. A proposta dessa Instituição é trazer uma melhoria para nossa cidade como deve ser feito a ação da iniciativa do inicio do Instituto Lixo Zero, de que maneira as pessoas devem proceder. O Instituto Lixo Zero deixa sua mensagem sobre o projeto - O conceito Lixo Zero consiste no máximo aproveitamento e correto encaminhamento dos resíduos recicláveis e orgânicos. Visa a redução ou mesmo o fim do encaminhamento desses materiais para os aterros sanitários ou para a incineração. Uma gestão Lixo Zero é aquela que não permite que ocorra a geração do lixo, que é a mistura de resíduos recicláveis, orgânicos e rejeitos. Podemos também dizer que Lixo Zero é um conceito de vida, tanto urbano como rural, no qual o indivíduo passa a refletir e se tornar consciente dos caminhos e finalidades de seus resíduos antes de descartá-los. No processo de conscientização, busca envolver as organizações e difundir estes quatro princípios: REPENSAR: Acabar com a ideia de que resíduos são sujos. Não descartar no lixo comum materiais que poderiam ser reciclados. REUTILIZAR: Diversos objetos e materiais podem ser utilizados de outra maneira antes de serem encaminhados para a reciclagem. Por exemplo, pode-se usar os dois lados das folhas de papel. REDUZIR: Gerar o mínimo possível de lixo. Ao invés de lixeiras, usar residuários e contêineres para acomodar os materiais. RECICLAR: Aproveitar a matéria-prima do resíduo para reproduzir o mesmo ou fabricar outro tipo de produto, sem encaminhá-lo para aterros. Como Sugestão para que o Presidente desta Casa Legislativa convide os funcionários para o conhecimento deste projeto. Em Anexo Carta de Princípios para o Lixo Zero. 
 35/2019	 18/02/2019	 26/02/2019	 Vereador	 	»»NEURI LUIZ MANTELLI 	Aprovada 	
 36/2019	 18/02/2019	 Vereador	 	»»NEURI LUIZ MANTELLI 	Entrada	 na Ordem do Dia REQUERENDO-LHE as seguintes informações: 	
 37/2019	 19/02/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Entrada	 na Ordem do Dia 	
 38/2019	 20/02/2019	 21/02/2019	 Vereador	 	»»CLEBER CECCON 	Aprovada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicita(m) que após as tramitações Legais Vossa Excelência Submeta este Plenário, e se aprovada, seja encaminhado ofício CONVIDANDO o Reverendíssimo Senhor DOM ODELIR JOSÉ MAGRI – Bispo Diocesano de Chapecó e o Senhor Pe. ADEMIR RUBINI – Pároco Catedral Santo Antônio – Chapecó, para participarem de Sessão Ordinária Desta Casa Legislativa, com data e hora a ser definida pela Secretaria, para promover o DEBATE em relação a Campanha da Fraternidade da CNBB, deste ano de 
 39/2019	 21/02/2019	 22/02/2019	 Vereador	 	»»ITAMAR ANTONIO AGNOLETTO ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ARESTIDE FIDELIS ASTRIT MARIA SAVARIS TOZZO CLAIMAR CESAR DE CONTO CLEBER CECCON CLEITON MARCIO FOSSÁ DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA LUIZ PAULO CARARO MARCILEI ANDREA P. VIGNATTI NEURI LUIZ MANTELLI VALDEMIR ANTONIO STOBE VALMOR JÚNIOR SCOLARI 	Aprovada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta este ao plenário, e se aprovado, seja prestada uma homenagem em Sessão Solene, com local, data e hora a ser marcado pela Secretaria desta Casa, ao Colégio Marista São Francisco, que completa no dia 12 de março 60 anos de história em Chapecó. O presente Requerimento visa reconhecer a importância do Colégio para a formação integral de crianças e jovens, alicerçado nos valores humanos e cristãos, que formam sólidos pilares desde a sua fundação em 1959. Bem como homenagear os que fazem parte deste processo, direção, corpo docente e colaboradores em geral. Histórico: O Colégio Marista “São Francisco” faz parte do Instituto Marista, presente em mais de 80 países do mundo. É dirigido pelos Irmãos Maristas e mantido pela União Catarinense de Educação (UCE) que é parte integrante do Grupo Marista. Tem como missão a formação de cidadãos éticos, justos e solidários para a transformação da sociedade, por meio de processos educacionais fundamentados nos valores do Evangelho, do jeito Marista. O objetivo do Colégio é formar para a vida, através da educação integral, oportunizar a formação acadêmico-científica consciente na fé e nos valores que respeitam a diversidade e primam pelas relações humanizadoras. Toda pedagogia marista está pautada na obra do seu fundador, Marcelino Champagnat, padre religioso que viveu na França numa época pós-revolucionária, onde apenas as grandes cidades tinham escolas. Viu a necessidade da educação no interior, onde crianças e jovens não tinham acesso ao saber e à religião. Sua obra espalhou-se por todo o mundo, onde existem colégios, universidades e obras assistenciais. Com a vinda dos primeiros Irmãos Maristas, em 1959, concretizava-se o sonho de um grupo de ex-alunos maristas do Rio Grande do Sul auxiliados pelo prefeito municipal, Sr. Plínio De Nes, Ir. Pedro Zanella, superior provincial dos Maristas, e o pároco da paróquia, Frei João Erdrich, em trazer para Chapecó uma obra educativa com a tradição dos Maristas. A Empresa Colonizadora Ernesto Bertaso S.A. deu o primeiro passo, doando uma área de 21.300 m², não longe do centro. Havia a necessidade de um Colégio para meninos, uma vez que o Colégio das Irmãs atendia somente meninas. Sendo assim, a seção masculina do Ginásio Chapecó, que funcionava na Rua Fernando Machado desde 1956, foi transferida para o atual prédio do Colégio Marista com a denominação Ginásio “São Francisco”, em homenagem ao Frei João que era da congregação franciscana. De uns anos para cá, graças ao apoio da Mantenedora, o Colégio Marista São Francisco, procura atualizar gradativamente sua estrutura física e administrativa, tornando atraente e confortável seu ambiente e informatizando seus serviços. Atualmente, com seus mais de 12.000 metros quadrados de área construída conta com 1.325 alunos matriculados nos cursos de Educação Infantil, Ensino Fundamental e Ensino Médio no período diurno, um corpo docente de 75 professores qualificados e 52 funcionários, além dos Irmãos Maristas, sob a direção da Sra. Marcia Maria Rosa. Nestes Termos, Pede Deferimento. 
 40/2019	 21/02/2019	 20/05/2019	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Retirada	 autorize a realização de ciclo de debate com categorias específicas para aprofundar o novo Projeto de Emenda Constitucional da Reforma da Previdência, protocolada pelo governo federal no Congresso Nacional. O ciclo de debate acontecerá inicialmente com as categorias dos professores, dos trabalhadores rurais e dos servidores públicos, podendo outras serem sugeridas pelos nobres vereadores. Os encontros serão realizados com a contribuição de profissionais especializados na área da previdência, que a convite da casa terão como objetivo apresentar a Proposta de Emenda Constitucional. As datas serão definidas pela secretaria da casa. Termos que pede deferimento. 
 41/2019	 21/02/2019	 22/02/2019	 Vereador	 	»»ARESTIDE FIDELIS ADÃO VALCIR TEODORO ADERBAL ANTONIO P. DA SILVA ASTRIT MARIA SAVARIS TOZZO CLAIMAR CESAR DE CONTO CLEBER CECCON CLEITON MARCIO FOSSÁ DELVINO DALL ROSA DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI ITAMAR ANTONIO AGNOLETTO JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA MARCILEI ANDREA P. VIGNATTI VALDEMIR ANTONIO STOBE 	Aprovada	 Os Vereadores que este subscrevem nos termos regimentais em vigor, solicitam que após as tramitações legais, seja feita alteração do Calendário de Reuniões Ordinárias, referente ao mês de março, ficando para os dias 18,19, 20, 21 e 22 ao invés de 25, 26, 27, 28 e 29 e referente ao mês de abril, ficando para os dias 15, 16, 17, 29 e 30 ao invés de 22, 23, 24, 25 e 26 . Termos em que pede Deferimento. 
 42/2019	 21/02/2019	 07/05/2019	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 43/2019	 22/02/2019	 12/03/2019	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada	 REQUERENDO-LHE: Que seja realizada a atualização dos dados sobre o transporte coletivo de Chapecó. Considerando que: o último fluxo de caixa consta ter sido atualizado em 17 de novembro de 2016, os dados do número de passageiros são de março de 2018, assim como os dados de viagens por linha e os dados da empresa. Termos que pede deferimento. 
